                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5894,                  5.323,                 3.8101,                 2.1594,                0.00404,                0.19048,                 0.0707,                0.03946,                      0,                      0,                      0,                      0,                 3.0523,                 6.0648,                 3.9227,                 2.7276,                      0,                      0,                      0
                      2,                 2.5602,                 5.3449,                 3.8826,                 2.1211,                0.00402,                0.19048,                0.06398,                0.03549,                      0,                      0,                      0,                      0,                 3.0566,                 6.0286,                 3.9156,                 2.7286,             1.4177e-05,             1.4177e-05,             1.4177e-05
                      3,                 2.6709,                 5.4211,                 3.8561,                  2.178,                  0.004,                0.19048,                0.05532,                 0.0316,                      0,                      0,                      0,                      0,                  3.058,                 5.9779,                 3.9116,                 2.7306,             2.8127e-05,             2.8127e-05,             2.8127e-05
                      4,                 2.6258,                 5.5154,                  3.781,                 2.1781,                0.00404,                0.19048,                 0.0537,                0.03109,                      0,                      0,                      0,                      0,                 3.0583,                  5.931,                 3.9107,                 2.7291,             4.1851e-05,             4.1851e-05,             4.1851e-05
                      5,                 2.4963,                 5.1392,                 3.8004,                 2.2803,                 0.0041,                0.19048,                0.05257,                0.03106,                      0,                      0,                      0,                      0,                 3.0554,                 5.8933,                 3.9069,                 2.7302,             5.5349e-05,             5.5349e-05,             5.5349e-05
                      6,                 2.7619,                 5.3348,                 3.7914,                 2.2689,                0.99398,                 0.1746,                0.19699,                0.14784,                0.05985,                0.04858,                0.01512,                0.00257,                 2.7013,                 4.0941,                 3.1241,                 2.4532,             6.8621e-05,             6.8621e-05,             6.8621e-05
                      7,                 2.2897,                 4.1792,                 3.1081,                 1.9458,                0.89109,                0.19048,                0.22617,                0.14284,                0.79735,                0.11111,                0.06986,                0.01456,                 2.3151,                 3.8031,                 3.6993,                 2.1168,             8.1666e-05,             8.1666e-05,             8.1666e-05
                      8,                 1.9794,                 3.5256,                 2.4502,                 1.7114,                0.53648,                0.24828,                 0.2117,                0.14522,                0.87179,                0.12698,                0.11424,                0.04529,                 2.1162,                 3.8615,                 7.7955,                 1.9122,             9.4484e-05,             9.4484e-05,             9.4484e-05
                      9,                  1.965,                 3.2623,                 2.3859,                 1.6993,                0.72833,                0.25066,                0.26704,                0.16956,                0.37367,                0.08859,                0.02811,                0.01039,                 2.0431,                 3.7208,                 5.3104,                 1.8242,             0.00010708,             0.00010708,             0.00010708
                     10,                 1.7106,                 2.9167,                 1.8433,                 1.4376,                0.73513,                 0.2642,                0.31868,                0.20193,                0.45124,                0.12565,                0.06578,                0.02242,                 1.9367,                 3.4421,                  3.809,                 1.7024,             0.00011944,             0.00011944,             0.00011944
                     11,                 1.7108,                 2.7852,                 1.7136,                 1.4271,                0.66558,                0.28971,                0.31779,                0.19699,                0.12102,                0.14249,                0.07478,                0.02461,                 1.8518,                 3.2825,                 4.5428,                 1.6035,             0.00013158,             0.00013158,             0.00013158
                     12,                 1.6422,                 2.6087,                 1.6123,                 1.3959,                0.32749,                0.31607,                0.31988,                0.20662,                0.18171,                0.19204,                0.10623,                0.03733,                 1.8428,                 3.1523,                 3.2983,                 1.5785,              0.0001435,              0.0001435,              0.0001435
                     13,                 1.5746,                 2.4348,                 1.4201,                 1.2993,                0.33033,                0.28971,                0.31529,                 0.2006,                0.18947,                0.24151,                0.18574,                0.05888,                 1.7439,                  2.963,                 3.2642,                 1.5234,             0.00015518,             0.00015518,             0.00015518
                     14,                 1.5353,                 2.3249,                 1.3287,                 1.2801,                0.26596,                0.38453,                0.33595,                0.21231,                0.20667,                0.29934,                0.21331,                0.07108,                 1.7298,                  2.681,                 3.3365,                 1.4811,             0.00016664,             0.00016664,             0.00016664
                     15,                 1.4312,                 2.0585,                 1.3178,                 1.2684,                 0.3287,                0.45111,                0.39512,                0.26161,                 0.3041,                0.40292,                0.33013,                0.12253,                 1.7189,                 2.5465,                 3.1341,                 1.4673,             0.00017788,             0.00017788,             0.00017788
                     16,                 1.4532,                 2.1588,                 1.2818,                 1.2527,                0.53193,                0.46058,                 0.4225,                0.29169,                0.49559,                0.42226,                0.36196,                 0.1434,                 1.6424,                 2.5246,                 3.2612,                 1.4289,             0.00018889,             0.00018889,             0.00018889
                     17,                 1.3963,                 2.0519,                 1.2666,                 1.1917,                0.50008,                0.43231,                0.40276,                0.26053,                0.42163,                0.34809,                0.28498,                0.11328,                 1.5537,                 2.7299,                 3.6284,                 1.3847,             0.00019967,             0.00019967,             0.00019967
                     18,                 1.2926,                 1.9344,                 1.1747,                 1.1977,                0.50008,                0.43231,                0.40276,                0.26053,                0.42163,                0.34809,                0.28498,                0.11328,                 1.5537,                 2.7299,                 3.6284,                 1.3847,             0.00021022,             0.00021022,             0.00021022
                     19,                 1.3639,                 1.8742,                 1.1808,                 1.1966,                0.61748,                0.52776,                0.49916,                0.34189,                0.53895,                0.42234,                0.37095,                0.17165,                 1.4352,                 2.8749,                 4.4122,                  1.315,             0.00022055,             0.00022055,             0.00022055
                     20,                 1.3228,                 1.8815,                 1.1108,                 1.1641,                0.61748,                0.52776,                0.49916,                0.34189,                0.53895,                0.42234,                0.37095,                0.17165,                 1.4352,                 2.8749,                 4.4122,                  1.315,             0.00023065,             0.00023065,             0.00023065
                     21,                  1.392,                  1.988,                 1.3058,                 1.2374,                0.63101,                 0.4968,                0.53915,                0.35748,                0.58864,                0.45023,                 0.4426,                0.18866,                 1.4037,                 2.6797,                 3.2599,                 1.2809,             0.00024053,             0.00024053,             0.00024053
                     22,                 1.1975,                 1.6469,                 1.0777,                  1.125,                0.63101,                 0.4968,                0.53915,                0.35748,                0.58864,                0.45023,                 0.4426,                0.18866,                 1.4037,                 2.6797,                 3.2599,                 1.2809,             0.00025018,             0.00025018,             0.00025018
                     23,                 1.2585,                  1.813,                 1.0833,                  1.136,                0.64926,                0.53957,                0.53045,                0.35437,                0.57204,                0.44349,                0.34225,                0.16252,                 1.3822,                 2.7424,                 2.7917,                 1.2798,              0.0002596,              0.0002596,              0.0002596
                     24,                 1.2906,                  1.812,                  1.061,                 1.1414,                0.64926,                0.53957,                0.53045,                0.35437,                0.57204,                0.44349,                0.34225,                0.16252,                 1.3822,                 2.7424,                 2.7917,                 1.2798,              0.0002688,              0.0002688,              0.0002688
                     25,                  1.176,                 1.6836,                0.98652,                 1.1182,                0.75192,                 0.5497,                0.63494,                0.43213,                0.68676,                0.48389,                0.47022,                0.20367,                 1.2544,                 2.7302,                 2.5615,                  1.208,             0.00027777,             0.00027777,             0.00027777
                     26,                 1.2447,                 1.8126,                 1.0387,                 1.0918,                0.75192,                 0.5497,                0.63494,                0.43213,                0.68676,                0.48389,                0.47022,                0.20367,                 1.2544,                 2.7302,                 2.5615,                  1.208,             0.00028651,             0.00028651,             0.00028651
                     27,                   1.23,                  1.773,                0.96894,                 1.0909,                0.79371,                0.62243,                0.69591,                0.48028,                 0.7182,                0.53977,                0.52048,                  0.215,                  1.239,                 2.3197,                 1.9949,                 1.2054,             0.00029503,             0.00029503,             0.00029503
                     28,                 1.1774,                 1.6743,                 1.0749,                 1.1073,                0.79371,                0.62243,                0.69591,                0.48028,                 0.7182,                0.53977,                0.52048,                  0.215,                  1.239,                 2.3197,                 1.9949,                 1.2054,             0.00030332,             0.00030332,             0.00030332
                     29,                  1.156,                 1.6113,                0.94572,                  1.079,                 0.7382,                0.61213,                0.65283,                0.43954,                0.66711,                 0.4574,                0.46924,                0.20931,                 1.2399,                 2.2048,                  1.646,                 1.1893,             0.00031139,             0.00031139,             0.00031139
                     30,                 1.1348,                 1.6721,                0.97947,                  1.091,                 0.7382,                0.61213,                0.65283,                0.43954,                0.66711,                 0.4574,                0.46924,                0.20931,                 1.2399,                 2.2048,                  1.646,                 1.1893,             0.00031923,             0.00031923,             0.00031923
                     31,                 1.0977,                 1.5766,                0.99011,                   1.07,                0.72173,                  0.615,                0.67275,                0.48165,                0.65061,                0.52931,                 0.5112,                 0.2333,                 1.1799,                 2.2285,                 1.7833,                 1.1544,             0.00032684,             0.00032684,             0.00032684
