Project_name,Zooniverse_number,db_path,server,bucket,key,csv_folder,movie_folder,photo_folder,ml_folder
Template project,9754,template_project.db,TEMPLATE,,,db_csv_info,,,ml-template-data
Koster_Seafloor_Obs,9747,/tmp/db/koster_lab.db,SNIC,,,/mimer/NOBACKUP/groups/snic2021-6-9/db_starter/csv_Koster_Seafloor_Obs/,/mimer/NOBACKUP/groups/snic2021-6-9/project_movies/movies_Koster/,,
Spyfish_Aotearoa,14054,spyfish_aot.db,AWS,marine-buv,init_db_doc_buv,db_spyfish_csv,,,
SGU,9747,/tmp/db/sgu.db,SNIC,,,/mimer/NOBACKUP/groups/snic2021-6-9/db_starter/csv_SGU/,,/mimer/NOBACKUP/groups/snic2021-6-9/KSO_SGU_pz/sgu_samples/,
Medins,9747,/tmp/db/medins.db,SNIC,,,/mimer/NOBACKUP/groups/snic2021-6-9/db_starter/csv_Medins/,/mimer/NOBACKUP/groups/snic2021-6-9/project_movies/movies_Medins/,,
GU,9747,/tmp/db/gu.db,SNIC,,,/mimer/NOBACKUP/groups/snic2021-6-9/db_starter/csv_GU/,/mimer/NOBACKUP/groups/snic2021-6-9/project_movies/movies_GU/concatenated/,,
Sharklife,9747,/tmp/db/sharklife.db,SNIC,,,/mimer/NOBACKUP/groups/snic2021-6-9/db_starter/csv_Sharklife/,/mimer/NOBACKUP/groups/snic2021-6-9/project_movies/movies_Sharklife/,,
CMPA_TEX,19165,cmpa_tex.db,AWS,thriving-earth-exchange,,db_cmpa_csv,,,
Spyfish_BOPRC,14054,Spyfish_BOPRC.db,LOCAL,,,E:/SpyFish/BOPRC sites,Y:/,,
model-registry,0,,,,,,,,
